%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
56.0, -11734.77734375, -24594.5390625, -172005.5, -57134.56640625, 5507.8046875, -19568.056640625, -52824.078125, -46753.72265625, -187500.015625, 108808.3125, -187500.015625, -185682.421875, 108948.4296875, 108906.078125, -187500.015625, 108868.328125, 0.014017579011124326, 0.933290074870456, 0.3010058677464258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661341916325E9, 2021-03-25 11:35:41.916
58.0, -11177.302734375, -24362.505859375, -171894.75, -56834.58203125, 5460.1064453125, -19097.396484375, -52684.78125, -46192.8046875, -187500.015625, 108792.1953125, -187500.015625, -185615.078125, 108932.203125, 108889.6953125, -187500.015625, 108852.0078125, 0.014008789721629, 0.9316450708138291, 0.3025029438867932, 192.0, 0.0, 56.0, 14.5, 8.0, 4.5, 64.0, 0.0, 0.0, 0.0, 1.6166613419163291E9, 2021-03-25 11:35:41.916
60.0, -11795.6630859375, -24572.724609375, -171976.125, -57115.2109375, 5481.72021484375, -19584.93359375, -52848.88671875, -46788.92578125, -187500.015625, 108769.6875, -187500.015625, -185626.671875, 108909.6328125, 108867.3203125, -187500.015625, 108829.5859375, 0.014008789721629, 0.9316450708138291, 0.3025029438867932, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163337E9, 2021-03-25 11:35:41.916
62.0, -11305.1767578125, -24412.396484375, -171868.703125, -56925.734375, 5443.9013671875, -19301.244140625, -52752.7734375, -46442.9453125, -187500.015625, 108746.21875, -187500.015625, -185648.421875, 108886.296875, 108843.875, -187500.015625, 108806.09375, 0.014008789721629, 0.9316450708138291, 0.3025029438867932, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163375E9, 2021-03-25 11:35:41.916
64.0, -11437.9462890625, -24426.119140625, -171876.65625, -56944.75390625, 5438.693359375, -19349.61328125, -52780.2890625, -46517.59765625, -187500.015625, 108730.484375, -187500.015625, -185572.53125, 108870.4453125, 108828.046875, -187500.015625, 108790.296875, 0.014008789721629, 0.9316450708138291, 0.3025029438867932, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163418E9, 2021-03-25 11:35:41.916
66.0, -11669.15234375, -24525.294921875, -171889.484375, -57087.2265625, 5442.4931640625, -19618.013671875, -52865.671875, -46832.58203125, -187500.015625, 108706.03125, -187500.015625, -185648.15625, 108846.265625, 108803.90625, -187500.015625, 108766.15625, 0.014008789721629, 0.9316450708138291, 0.3025029438867932, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163458E9, 2021-03-25 11:35:41.916
68.0, -11104.8154296875, -24295.4296875, -171779.78125, -56790.1015625, 5397.5439453125, -19151.666015625, -52726.2421875, -46275.796875, -187500.015625, 108690.875, -187500.015625, -185583.796875, 108830.84375, 108788.4375, -187500.015625, 108750.7109375, 0.01500439524079411, 0.9308225687855156, 0.30325148195697693, 192.0, 0.0, 64.0, 14.5, 8.0, 4.5, 64.0, 0.0, 0.0, 0.0, 1.61666134191635E9, 2021-03-25 11:35:41.916
70.0, -11727.8037109375, -24504.216796875, -171861.59375, -57062.390625, 5417.61572265625, -19631.4921875, -52885.1875, -46856.453125, -187500.015625, 108667.046875, -187500.015625, -185592.96875, 108807.125, 108764.7265625, -187500.015625, 108726.8359375, 0.01500439524079411, 0.9308225687855156, 0.30325148195697693, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163551E9, 2021-03-25 11:35:41.916
72.0, -11251.4873046875, -24353.208984375, -171759.828125, -56884.0234375, 5384.736328125, -19364.701171875, -52795.8671875, -46529.17578125, -187500.015625, 108645.5859375, -187500.015625, -185619.90625, 108785.7109375, 108743.3984375, -187500.015625, 108705.515625, 0.01500439524079411, 0.9308225687855156, 0.30325148195697693, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613419163592E9, 2021-03-25 11:35:41.916
74.0, -11366.80078125, -24359.310546875, -171763.625, -56891.6015625, 5376.37646484375, -19397.625, -52817.37109375, -46583.40234375, -187500.015625, 108631.171875, -187500.015625, -185544.265625, 108771.03125, 108728.734375, -187500.015625, 108690.875, 0.01500439524079411, 0.9308225687855156, 0.30325148195697693, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661342396233E9, 2021-03-25 11:35:42.396
76.0, -11613.8095703125, -24463.15625, -171779.15625, -57036.9765625, 5380.04248046875, -19673.19921875, -52906.66796875, -46905.04296875, -187500.015625, 108605.1796875, -187500.015625, -185619.296875, 108745.234375, 108702.921875, -187500.015625, 108665.171875, 0.01500439524079411, 0.9308225687855156, 0.30325148195697693, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661342396442E9, 2021-03-25 11:35:42.396
78.0, -11038.005859375, -24231.369140625, -171667.1875, -56737.6875, 5334.5791015625, -19203.74609375, -52767.796875, -46344.796875, -187500.015625, 108587.3828125, -187500.015625, -185554.1875, 108727.328125, 108685.0859375, -187500.015625, 108647.21875, 0.015502198000376666, 0.9334113089498715, 0.30162574693895294, 192.0, 0.0, 64.0, 14.5, 32.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.616661342396446E9, 2021-03-25 11:35:42.396
80.0, -11660.6806640625, -24440.826171875, -171751.203125, -57008.27734375, 5356.43896484375, -19680.912109375, -52929.53125, -46920.53515625, -187500.015625, 108566.9765625, -187500.015625, -185564.875, 108706.9921875, 108664.7265625, -187500.015625, 108626.75, 0.015502198000376666, 0.9334113089498715, 0.30162574693895294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613423964508E9, 2021-03-25 11:35:42.396
82.0, -11191.96484375, -24292.634765625, -171649.359375, -56833.12890625, 5322.46435546875, -19421.498046875, -52841.30859375, -46602.37890625, -187500.015625, 108544.46875, -187500.015625, -185593.046875, 108684.5234375, 108642.3046875, -187500.015625, 108604.4140625, 0.015502198000376666, 0.9334113089498715, 0.30162574693895294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661342396455E9, 2021-03-25 11:35:42.396
84.0, -11291.6318359375, -24293.595703125, -171651.3125, -56832.4609375, 5314.373046875, -19442.1953125, -52856.95703125, -46640.04296875, -187500.015625, 108528.625, -187500.015625, -185515.3125, 108668.5234375, 108626.1875, -187500.015625, 108588.34375, 0.015502198000376666, 0.9334113089498715, 0.30162574693895294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.616661342396459E9, 2021-03-25 11:35:42.396
86.0, -11552.4990234375, -24401.734375, -171668.75, -56982.73046875, 5319.20068359375, -19728.095703125, -52945.2890625, -46972.8359375, -187500.015625, 108502.46875, -187500.015625, -185590.078125, 108642.6171875, 108600.234375, -187500.015625, 108562.4375, 0.015502198000376666, 0.9334113089498715, 0.30162574693895294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6166613423964634E9, 2021-03-25 11:35:42.396
88.0, -10973.923828125, -24168.91796875, -171556.96875, -56679.26171875, 5275.30224609375, -19253.859375, -52800.94140625, -46403.5390625, -187500.015625, 108486.4453125, -187500.015625, -185528.40625, 108626.4140625, 108584.1484375, -187500.015625, 108546.2578125, 0.015751099380167943, 0.9327056749789335, 0.30081287942994095, 192.0, 0.0, 64.0, 14.5, 16.0, 4.5, 48.0, 0.0, 0.0, 0.0, 1.6166613423964672E9, 2021-03-25 11:35:42.396
